# size,time_mean,time_std
1.000000000000000000e+01,4.476503402615587213e+00,6.285721442879440346e+00
1.000000000000000000e+02,3.159540003010382486e-02,9.528747682595983110e-05
1.000000000000000000e+03,3.152966363510737585e-02,2.802608614466483593e-05
1.000000000000000000e+04,3.143178966517249512e-02,7.882332143713975052e-05
1.000000000000000000e+05,3.306122834328562021e-02,9.670681416600969199e-04
1.000000000000000000e+06,5.576416097270945477e-02,2.068404523376424914e-02
1.000000000000000000e+07,3.784848194646959652e+00,4.482660648128030702e-03
1.000000000000000000e+08,1.299414831101118217e+01,2.691306091858426328e-02
